date,admin2,distance_travelled,urban,poverty
1-Feb,COUNTRY.1.,10.066,1,8
1-Feb,-1,0,-1,-1
1-Feb,COUNTRY.1.,0,1,8
1-Feb,COUNTRY.1.,16.022,1,8
1-Feb,COUNTRY.1.,12.524,1,8
1-Feb,COUNTRY.1.,535.679,1,8
1-Feb,-1,0,-1,-1
1-Feb,COUNTRY.1.,1.551,1,8
1-Feb,COUNTRY.1.,15.596,1,8
1-Feb,-1,20.114,-1,-1
1-Feb,COUNTRY.1.,16.618,1,8
1-Feb,COUNTRY.1.,14.691,1,8
1-Feb,-1,0.496,-1,-1
1-Feb,-1,32.493,-1,-1
1-Feb,-1,7.465,-1,-1
1-Feb,COUNTRY.3.,78.02,1,7
1-Feb,COUNTRY.1.,4.896,1,8
1-Feb,COUNTRY.1.,5.18,1,8
1-Feb,COUNTRY.1.,0.163,1,8
1-Feb,-1,245.845,-1,-1
1-Feb,COUNTRY.1.,470.809,1,8
1-Feb,COUNTRY.1.,10.981,1,8
1-Feb,-1,0,-1,-1
1-Feb,COUNTRY.1.,4.478,1,8
1-Feb,-1,0.256,-1,-1
1-Feb,COUNTRY.1.,0.042,1,8
1-Feb,COUNTRY.1.,1.231,1,8
1-Feb,COUNTRY.1.,49.398,1,8
1-Feb,-1,9.81,-1,-1
1-Feb,-1,0,-1,-1
1-Feb,COUNTRY.1.,5.009,1,8
1-Feb,COUNTRY.1.,0,1,8
1-Feb,COUNTRY.1.,29.304,1,8
1-Feb,COUNTRY.11.,901.113,1,7
1-Feb,COUNTRY.11.,2.041,1,8
1-Feb,COUNTRY.3.,278.838,1,8
1-Feb,COUNTRY.1.,6.651,1,8
1-Feb,COUNTRY.1.,24.432,1,8
1-Feb,COUNTRY.5.,0,1,7
1-Feb,COUNTRY.1.,8.973,1,8
1-Feb,COUNTRY.1.,45.703,1,8
1-Feb,COUNTRY.1.,53.948,1,8
1-Feb,COUNTRY.11.,0,1,8
1-Feb,COUNTRY.1.,0.766,1,8
1-Feb,COUNTRY.13.,291.828,0,7
1-Feb,COUNTRY.14.,4.124,1,7
1-Feb,COUNTRY.11.,5.995,1,7
1-Feb,-1,1.441,-1,-1
